variable,decision,reason
DIA,Keep,Strongest relationship with CARBON_AG and central tree-size predictor.
HT,Keep or compare with ACTUALHT,Strong relationship with carbon but highly correlated with ACTUALHT.
ACTUALHT,Compare with HT,Almost duplicate height information; may cause redundancy.
CR,Optional,Weak direct correlation but may capture tree condition.
SPCD,Keep as categorical,Species codes show different median carbon values.
STATECD,Keep as categorical,Selected states show different median carbon patterns.
COUNTYCD,Keep as categorical,County provides finer geographic context than state.
FORTYPCD,Keep as categorical,Forest type shows variation in median carbon.
OWNGRPCD,Keep as categorical,Ownership context may help explain management-related forest differences.
SITECLCD,Keep as categorical,Site productivity class may influence tree growth and carbon storage.
STDSZCD,Keep as categorical,Stand size class provides interpretable structural context.
VOLCFNET / VOLCSNET / VOLBFNET,Drop from predictors,High missingness and potential overlap with biomass/carbon estimation.
DRYBIO_AG,Drop from predictors,Directly related to carbon/biomass target and likely leakage risk.
DRYBIO_BG,Drop from predictors,Biomass-derived field and leakage risk.
CARBON_BG,Drop from predictors,Non-target carbon-derived field and leakage risk.
TPA_UNADJ,Drop or treat cautiously,"Expansion factor/plot weighting field, not a direct tree characteristic for prediction."
